SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1,0,0,0.00010047,0.00238172,-0.99857372,-0.01039648,0.0529018,0.03035599,-64.10406494,16.13563347,-81.90587616,-0.01068062,-0.01762747,-6.74935198,0.99826598,0.0001021,0.00014808,0.05886515,0.00090918,0.00081556,-0.00142435,0,0,26.26000023,0
1,0.01,1,0.00104851,0.00228438,-0.99982083,-0.06264217,0.0191848,-0.04002882,-64.10406494,16.13563347,-81.90587616,-0.01130763,-0.01743655,-6.74976015,0.99826574,0.00010746,0.00014609,0.05886871,-0.00002633,0.0009285,-0.0001762,0,0,26.26000023,0
1,0.02,2,0.00025262,0.00297805,-0.99953824,0.00736644,0.05379282,-0.00430909,-64.51329803,14.61560917,-81.90587616,-0.00658209,-0.02588971,-6.74993467,0.99826568,0.00007064,0.00022216,0.05887023,0.00073703,0.00021083,-0.00045776,0,0,26.26000023,0
1,0.03,3,0.00117053,0.00246849,-0.9999091,-0.09812395,0.01776347,0.01193345,-63.66559601,15.66793346,-82.34434509,-0.00756338,-0.0257113,-6.74981499,0.99826574,0.0000791,0.0002201,0.05886919,-0.00029483,0.00067156,-0.00008727,0,0,26.26000023,0
1,0.04,4,0.00101755,0.00248942,-0.99942219,-0.08109567,0.05222332,0.03007315,-64.39637756,15.49254608,-81.87664032,-0.00837425,-0.02518773,-6.74950027,0.99826586,0.00008589,0.00021512,0.05886645,-0.00013259,0.00066872,-0.00057429,0,0,26.26000023,0
1,0.05,5,0.00065034,0.00283673,-1.00008726,0.02615805,-0.01606084,0.02909527,-63.84098053,16.01870728,-82.31510925,-0.00811258,-0.02534701,-6.74921131,0.9982661,0.00008369,0.00021664,0.05886394,0.00023557,0.00032508,0.00009135,0,0,26.26000023,0
1,0.06,6,0.00013126,0.00237084,-0.99957806,0.04289228,0.05557485,-0.07363933,-63.84098053,16.01870728,-82.31510925,-0.00768447,-0.0247932,-6.74995422,0.99826562,0.00007968,0.00021204,0.0588704,0.00075755,0.00078186,-0.00041996,0,0,26.26000023,0
1,0.07,7,0.00098729,0.00227492,-0.99933416,-0.02841657,0.06969696,0.04800374,-63.49020767,16.13563347,-82.46126556,-0.00012525,-0.02488947,-6.74937439,0.99826598,0.00001388,0.00021676,0.05886534,-0.00008833,0.00084162,-0.000663,0,0,26.26000023,0
1,0.08,8,0.00089542,0.00239884,-0.99945426,0.01008029,0.10169822,0.01187712,-63.89944458,15.55100822,-81.73048401,-0.0000245,-0.02387173,-6.74925518,0.99826604,0.00001248,0.00020795,0.0588643,0.00000301,0.00061852,-0.00054267,0,0,26.26000023,0
1,0.09,9,0.00098578,0.00324209,-0.99904579,-0.09179976,0.04174745,0.16447908,-63.43174362,14.5863781,-81.26278687,-0.00094116,-0.02344891,-6.74760532,0.99826682,0.00002024,0.00020379,0.05884992,-0.00007415,-0.00021672,-0.00094843,0,0,26.26000023,0
1,0.1,10,0.00043631,0.00272487,-0.99902433,-0.05578925,0.04749716,-0.09589805,-63.19789505,15.96024513,-82.13972473,-0.0015001,-0.02297649,-6.74857044,0.99826634,0.00002487,0.00019939,0.05885833,0.00048772,0.00031415,-0.00097229,0,0,26.26000023,0
1,0.11,11,0.00049735,0.00292673,-1.00002539,-0.07282472,-0.00681303,0.00718702,-63.19789505,15.96024513,-82.13972473,-0.00222843,-0.02304399,-6.74849749,0.99826646,0.00003125,0.0001996,0.0588577,0.00042852,0.00012419,0.00002957,0,0,26.26000023,0
1,0.12,12,0.00080262,0.00309369,-0.99923104,0.05067858,-0.00742922,0.09452152,-63.16866302,15.96024513,-82.16895294,0.00009103,-0.02418098,-6.74751425,0.99826688,0.00001163,0.0002107,0.05884913,0.00011333,-0.00005351,-0.00076392,0,0,26.26000023,0
1,0.13,13,0.00098494,0.00371709,-0.99846047,-0.05670013,0.07962321,0.02637836,-63.19789505,14.99561501,-81.8181839,-0.00047587,-0.02338358,-6.74725008,0.99826705,0.00001615,0.00020346,0.05884683,-0.00007536,-0.00070086,-0.00153232,0,0,26.26000023,0
1,0.14,14,0.00080338,0.0026104,-0.99939042,-0.02044684,0.02798603,0.02546815,-63.89944458,16.34025192,-81.78894806,-0.00068028,-0.02310258,-6.74701405,0.99826717,0.00001779,0.00020091,0.05884477,0.00011754,0.00041538,-0.00060597,0,0,26.26000023,0
1,0.15,15,-0.00011355,0.00251983,-0.99942416,-0.0735081,0.04696687,-0.07860086,-63.84098053,16.01870728,-81.7012558,-0.00141626,-0.02263493,-6.74779654,0.99826682,0.00002396,0.00019646,0.05885159,0.00104035,0.000515,-0.00057371,0,0,26.26000023,0
1,0.16,16,0.00116989,0.00289395,-0.99990273,0.05116324,-0.00346152,-0.09652543,-63.84098053,16.01870728,-81.7012558,-0.00090565,-0.02267208,-6.74875498,0.99826622,0.00001954,0.00019704,0.05885994,-0.00023705,0.00014199,-0.0000924,0,0,26.26000023,0
1,0.17,17,0.00071111,0.00297331,-0.99929392,0.05209662,-0.09477796,0.12750462,-64.04560089,16.22332573,-82.46126556,-0.00062448,-0.02411843,-6.74749041,0.99826694,0.00001783,0.00020979,0.05884892,0.0002062,0.00005434,-0.00070156,0,0,26.26000023,0
1,0.18,18,0.0001008,0.00224041,-0.99912357,0.06903487,0.0107647,-0.01010612,-64.1917572,16.13563347,-82.19818878,0.00006562,-0.02401072,-6.74758863,0.99826694,0.00001176,0.0002092,0.05884978,0.00080639,0.0007763,-0.00087478,0,0,26.26000023,0
1,0.19,19,0.00071141,0.00272309,-0.99893248,0.03695721,-0.06399391,0.02056176,-63.66559601,15.22946453,-82.13972473,0.00043521,-0.0246497,-6.74738693,0.99826694,0.00000887,0.00021496,0.05884802,0.00018982,0.00028755,-0.00106373,0,0,26.26000023,0
1,0.2,20,0.00065097,0.00251663,-1.00082242,-0.03516003,0.02267636,-0.01270419,-63.98713684,15.11254025,-82.05203247,0.00008334,-0.02442296,-6.74751568,0.99826694,0.00001182,0.0002128,0.05884915,0.00024994,0.00049957,0.00082552,0,0,26.26000023,0
1,0.21,21,0.00123032,0.00338256,-1.00001693,-0.03279423,-0.11628811,0.00185939,-63.49020767,16.01870728,-82.4905014,-0.00024473,-0.02558539,-6.74749374,0.99826694,0.00001527,0.00022276,0.05884895,-0.00034159,-0.00036368,0.00002353,0,0,26.26000023,0
1,0.22,22,0.00187175,0.00353769,-0.99861342,0.09157588,-0.14939107,-0.01571465,-63.49020767,16.01870728,-82.4905014,-0.00579744,-0.02429703,-6.74769974,0.99826682,0.00006298,0.00020869,0.05885076,-0.00100047,-0.00050233,-0.00137879,0,0,26.26000023,0
1,0.23,23,0.0017205,0.00257999,-0.99938887,0.03661192,-0.04702914,0.03828022,-63.63636398,15.96024513,-82.57819366,-0.00543114,-0.02476577,-6.74732494,0.99826699,0.00006003,0.00021296,0.05884749,-0.00082287,0.00052975,-0.00060641,0,0,26.26000023,0
1,0.24,24,0.00049739,0.00289574,-0.99999541,0.05355927,0.00655967,-0.03006909,-64.16252136,15.63870239,-82.31510925,-0.00489602,-0.0247007,-6.74762583,0.99826682,0.00005534,0.00021267,0.05885011,0.00039599,0.00021178,-0.00000049,0,0,26.26000023,0
1,0.25,25,0.00022048,0.00393871,-0.99891531,0.00053487,0.00605082,-0.03028119,-64.01636505,15.75562668,-82.84127045,-0.0048911,-0.02464075,-6.74793053,0.9982667,0.00005526,0.00021215,0.05885276,0.00067489,-0.00083911,-0.00107784,0,0,26.26000023,0
1,0.26,26,0.00046576,0.00341734,-0.9986791,0.00010145,0.02229419,0.02217306,-63.95790482,15.55100822,-82.4905014,-0.00489005,-0.02441674,-6.74770498,0.99826676,0.00005514,0.0002102,0.0588508,0.00042943,-0.00032008,-0.00131526,0,0,26.26000023,0
1,0.27,27,0.00196434,0.00313943,-1.00001907,-0.07050963,0.02233714,-0.01284554,-63.95790482,15.55100822,-82.4905014,-0.00528115,-0.01661875,-6.74773884,0.99826682,0.00005454,0.00014206,0.05885109,-0.00102822,-0.00003022,0.00002571,0,0,26.26000023,0
1,0.28,28,0.0019031,0.00298593,-0.99837816,0.03713345,-0.06255113,-0.04890986,-63.98713684,16.19409561,-82.63665771,-0.00491053,-0.01724539,-6.74823427,0.99826652,0.00005164,0.00014771,0.05885541,-0.00087189,0.00011868,-0.00161569,0,0,26.26000023,0
